trip_id	household_id	person_n	trip_n	travel_mode	purpose	fueltype	faretype	bus_scale	survey_year	travel_year	travel_month	travel_date	day_of_week	start_time	age	female	driving_license	car_ownership	distance	dur_walking	dur_cycling	dur_pt_access	dur_pt_rail	dur_pt_bus	dur_pt_int	pt_interchanges	dur_driving	cost_transit	cost_driving_fuel	cost_driving_ccharge	driving_traffic_percent
333	78	1	0	4	3	1	4	0.0	1	2012	4	6	5	18.16666667	75	0	1	2	23638	5.387222222	1.633611111	0.222777778	0.433333333	0.0	0.1166666669999999	1	0.969722222	4.25	3.92	0.0	0.61014
344	81	1	0	4	3	1	1	1.0	1	2012	4	6	5	11.75	43	1	1	2	1772	0.474166667	0.163055556	0.058888889	0.0	0.126388889	0.0	0	0.115	1.5	0.33	0.0	0.227053
346	81	1	2	4	2	1	1	1.0	1	2012	4	6	5	16.75	43	1	1	2	3197	0.814444444	0.221111111	0.051944444	0.0	0.454166667	0.106111111	1	0.293888889	3.0	0.83	0.0	0.6361060000000001
361	84	0	2	3	3	6	1	1.0	1	2012	4	7	6	12.5	49	1	0	0	1863	0.436666667	0.1225	0.138611111	0.0	0.15	0.0	0	0.123055556	1.5	0.3	0.0	0.257336
363	84	1	1	3	1	6	1	1.0	1	2012	4	7	6	18.25	49	0	0	0	4837	1.034444444	0.276944444	0.113333333	0.0	0.3752777779999999	0.0	0	0.302222222	1.5	0.7	0.0	0.495404
392	93	0	0	1	3	1	1	1.0	1	2012	4	8	7	13.0	38	1	1	1	735	0.199444444	0.074444444	0.120555556	0.0	0.0375	0.0	0	0.064444444	1.5	0.15	0.0	0.340517
421	97	1	1	4	3	1	1	1.0	1	2012	4	8	7	13.0	45	1	1	2	2696	0.6175	0.1566666669999999	0.2691666669999999	0.0	0.156944444	0.0	0	0.1975	1.5	0.54	0.0	0.495077
440	99	2	3	3	5	1	3	0.0	1	2012	4	9	1	15.58333333	14	1	0	1	3792	0.915	0.282777778	0.251944444	0.15	0.0	0.0	0	0.25	0.75	0.68	0.0	0.395556
462	106	0	0	1	3	6	1	1.0	1	2012	4	9	1	10.0	19	0	1	0	2947	0.637222222	0.155277778	0.069722222	0.0	0.175555556	0.0	0	0.094444444	1.5	0.35	0.0	0.179412
481	114	0	1	4	3	1	1	0.5	1	2012	4	10	2	17.66666667	48	1	0	1	2500	0.661666667	0.1866666669999999	0.148333333	0.0	0.225555556	0.0	0	0.1555555559999999	0.75	0.46	0.0	0.0946429
497	121	0	1	3	3	6	4	0.5	1	2012	4	10	2	11.0	57	0	1	0	9326	2.085277778	0.692222222	0.0461111109999999	0.333333333	0.125	0.133333333	1	0.791388889	2.35	1.71	10.5	0.75781
510	123	1	3	4	3	2	1	1.0	1	2012	4	10	2	21.5	55	0	1	1	1554	0.4377777779999999	0.143333333	0.266111111	0.0	0.111111111	0.0	0	0.106111111	1.5	0.27	0.0	0.0445026
532	127	0	5	4	3	1	1	1.0	1	2012	4	10	2	17.0	44	1	1	1	6803	1.654722222	0.4975	0.1005555559999999	0.1	0.15	0.2166666669999999	1	0.305277778	4.0	1.09	0.0	0.385805
539	128	2	1	4	5	2	3	0.0	1	2012	4	10	2	14.75	11	1	0	2	2650	0.632777778	0.222777778	0.170277778	0.0	0.286666667	0.0	0	0.199444444	0.0	0.44	0.0	0.112813
542	129	0	2	4	4	2	1	1.0	1	2012	4	10	2	14.25	46	0	1	1	1268	0.303333333	0.1125	0.101944444	0.0	0.081666667	0.0	0	0.075833333	1.5	0.2	0.0	0.117216
572	140	0	4	4	4	6	1	1.0	1	2012	4	11	3	13.91666667	57	1	1	2	4945	1.354444444	0.462222222	0.1191666669999999	0.0	0.583611111	0.0	0	0.381388889	1.5	1.08	0.0	0.276766
573	140	0	5	4	5	6	1	1.0	1	2012	4	11	3	16.0	57	1	1	2	3823	1.053333333	0.366944444	0.1186111109999999	0.0	0.635833333	0.0	0	0.304722222	1.5	0.79	0.0	0.297174
597	144	0	3	3	3	1	5	0.0	1	2012	4	11	3	16.66666667	64	0	1	1	3787	0.923055556	0.266944444	0.137222222	0.233333333	0.0	0.0	0	0.216111111	0.0	0.65	0.0	0.532134
602	145	0	0	4	3	2	5	0.0	1	2012	4	12	4	14.0	66	1	0	1	1104	0.3383333329999999	0.141666667	0.088888889	0.0	0.133333333	0.0	0	0.128055556	0.0	0.26	0.0	0.2212579999999999
603	145	0	1	4	3	2	5	0.0	1	2012	4	12	4	15.25	66	1	0	1	1104	0.3388888889999999	0.113333333	0.076111111	0.0	0.1166666669999999	0.0	0	0.104444444	0.0	0.22	0.0	0.0638298
620	152	0	0	4	3	1	1	0.0	1	2012	4	12	4	14.33333333	35	0	1	1	1822	0.460555556	0.141666667	0.075277778	0.0	0.166666667	0.0	0	0.1725	0.0	0.42	0.0	0.325282
640	153	1	1	3	1	6	1	1.0	1	2012	4	12	4	15.0	47	0	1	0	9005	2.114722222	0.7544444440000001	0.128055556	0.316666667	0.0	0.1	1	0.941388889	2.4	1.82	10.5	0.71496
665	159	2	0	1	1	6	4	1.0	1	2012	4	12	4	9.0	23	0	0	0	353	0.098055556	0.038333333	0.06	0.0	0.042222222	0.0	0	0.04	1.5	0.08	0.0	0.0
669	161	0	0	1	3	1	5	0.0	1	2012	4	12	4	11.5	68	1	1	1	2373	0.591944444	0.182222222	0.175833333	0.0	0.13	0.0	0	0.139444444	0.0	0.41	0.0	0.183267
681	165	0	0	4	3	1	1	1.0	1	2012	4	12	4	12.0	28	0	1	1	920	0.272777778	0.106111111	0.181666667	0.0	0.066666667	0.0	0	0.100833333	1.5	0.26	0.0	0.1735539999999999
691	169	0	0	1	3	6	5	0.0	1	2012	4	12	4	13.5	77	0	0	0	523	0.120555556	0.0288888889999999	0.095833333	0.0	0.027222222	0.0	0	0.0436111109999999	0.0	0.09	0.0	0.0
706	174	0	0	3	1	1	5	0.0	1	2012	4	13	5	7.5	54	1	1	2	3402	0.8472222220000001	0.213055556	0.166388889	0.0	0.26	0.0	0	0.224444444	0.0	0.67	0.0	0.438119
719	178	0	0	3	3	6	1	1.0	1	2012	4	13	5	18.08333333	22	1	0	0	2623	0.654444444	0.278333333	0.066388889	0.0	0.283333333	0.0	0	0.254444444	1.5	0.55	0.0	0.624454
721	178	0	2	3	5	6	1	1.0	1	2012	4	13	5	21.5	22	1	0	0	1294	0.330555556	0.135277778	0.175833333	0.0	0.056111111	0.0	0	0.075277778	1.5	0.2	0.0	0.4022139999999999
733	179	4	1	4	4	2	1	1.0	1	2012	4	13	5	15.5	25	0	0	1	8773	1.960555556	0.554722222	0.227222222	0.5	0.0	0.166666667	1	0.615833333	5.0	1.27	0.0	0.515562
739	180	0	3	4	5	1	1	1.0	1	2012	4	14	6	22.0	45	1	1	2	4079	1.038333333	0.344722222	0.123611111	0.0	0.161944444	0.0	0	0.227222222	1.5	0.87	0.0	0.099022
740	180	0	4	4	3	1	1	1.0	1	2012	4	14	6	22.91666667	45	1	1	2	7075	1.726944444	0.551666667	0.029444444	0.0	0.430555556	0.152777778	2	0.315833333	4.5	1.45	0.0	0.216359
751	181	0	1	3	3	6	5	0.0	1	2012	4	14	6	13.0	56	1	0	0	5713	1.385	0.452222222	0.2794444439999999	0.0	0.330833333	0.0	0	0.386666667	0.0	1.02	0.0	0.318247
762	184	0	0	4	3	1	1	1.0	1	2012	4	14	6	14.0	38	1	1	2	9886	2.514444444	0.782222222	0.080555556	0.0	0.895277778	0.154444444	1	0.465555556	3.0	1.68	0.0	0.301909
764	184	1	0	4	3	1	1	1.0	1	2012	4	14	6	14.0	46	0	1	2	9886	2.514444444	0.782222222	0.080555556	0.0	0.895277778	0.154444444	1	0.465555556	3.0	1.68	0.0	0.301909
770	184	4	0	4	3	2	5	0.0	1	2012	4	14	6	14.0	9	0	0	2	9886	2.514444444	0.782222222	0.080555556	0.0	0.895277778	0.154444444	1	0.465555556	0.0	1.47	0.0	0.301909
773	184	5	1	4	3	2	5	0.0	1	2012	4	14	6	16.5	8	1	0	2	9886	2.566111111	0.818888889	0.079444444	0.0	0.885	0.166666667	1	0.440555556	0.0	1.46	0.0	0.222573
833	200	1	5	1	3	2	1	1.0	1	2012	4	15	7	18.5	58	1	1	1	2367	0.592777778	0.165833333	0.145277778	0.0	0.140277778	0.0	0	0.132777778	1.5	0.35	0.0	0.0439330999999999
834	200	3	0	4	3	2	1	1.0	1	2012	4	15	7	16.5	20	0	1	1	7523	1.740277778	0.523888889	0.1172222219999999	0.0	0.559722222	0.066666667	1	0.317777778	3.0	1.2	0.0	0.233392
852	206	0	0	2	3	6	1	1.0	1	2012	4	15	7	12.5	31	1	1	0	6890	1.635	0.625555556	0.175555556	0.2	0.0	0.1166666669999999	1	0.53	2.4	1.2	0.0	0.671908
862	209	0	0	1	3	2	1	1.0	1	2012	4	15	7	13.0	32	1	0	1	990	0.2869444439999999	0.098055556	0.1425	0.016666667	0.0	0.0	0	0.093333333	1.5	0.18	0.0	0.33631
867	210	0	0	3	3	6	1	1.0	1	2012	4	15	7	10.5	32	0	1	0	3722	0.941944444	0.301111111	0.144444444	0.0	0.353055556	0.1011111109999999	1	0.2213888889999999	3.0	0.68	0.0	0.474279
905	217	1	0	3	3	6	1	0.5	1	2012	4	16	1	13.0	25	0	0	0	12037	2.924722222	0.950833333	0.096666667	0.433333333	0.083888889	0.3	2	0.645	3.55	2.14	0.0	0.498277
929	222	1	3	4	3	1	1	1.0	1	2012	4	16	1	19.5	30	0	1	1	4770	1.315	0.4638888889999999	0.188055556	0.0	0.51	0.123611111	1	0.231388889	3.0	0.93	0.0	0.481393
955	225	2	5	3	3	1	2	0.0	1	2012	4	16	1	19.83333333	16	1	0	1	5402	1.210555556	0.435	0.052222222	0.0	0.3852777779999999	0.0	0	0.360555556	0.0	1.0	0.0	0.484592
966	230	1	0	4	1	6	1	1.0	1	2012	4	17	2	9.0	48	1	0	0	3441	0.7836111109999999	0.262222222	0.074722222	0.0	0.166111111	0.0	0	0.156944444	1.5	0.47	0.0	0.437168
968	231	0	0	4	1	1	1	1.0	1	2012	4	17	2	7.0	32	0	1	2	10018	2.3075	0.718333333	0.130555556	0.2666666669999999	0.123333333	0.083333333	1	0.538333333	3.9	1.64	0.0	0.595459
997	232	4	3	4	3	1	5	0.0	1	2012	4	17	2	19.25	9	0	0	1	7881	2.111666667	0.675	0.62	0.316666667	0.0	0.0	0	0.358055556	0.0	1.29	0.0	0.0674942
1006	233	2	1	4	5	1	4	0.0	1	2012	4	17	2	7.75	18	0	1	1	2439	0.7275	0.2191666669999999	0.079166667	0.0	0.478055556	0.0925	1	0.2372222219999999	0.0	0.66	0.0	0.30445
1008	233	3	2	4	2	2	2	0.0	1	2012	4	17	2	17.16666667	16	0	0	1	4662	1.087777778	0.328055556	0.2075	0.0	0.316666667	0.0	0	0.255833333	0.0	0.63	0.0	0.32899
1024	237	0	1	4	2	1	1	1.0	1	2012	4	17	2	8.266666667	50	1	1	2	1832	0.463055556	0.1863888889999999	0.221944444	0.0	0.1580555559999999	0.0	0	0.131388889	1.5	0.37	0.0	0.511628
1031	237	3	0	3	2	2	1	0.0	1	2012	4	17	2	8.5	18	1	0	2	3837	0.912222222	0.319166667	0.324166667	0.166666667	0.0	0.0	0	0.325	1.7	0.74	0.0	0.755556
1041	240	0	2	4	3	1	5	0.0	1	2012	4	17	2	16.16666667	73	0	1	1	1958	0.482222222	0.1744444439999999	0.166666667	0.0	0.170277778	0.0	0	0.155833333	0.0	0.47	0.0	0.174688
1069	245	2	0	4	1	1	1	1.0	1	2012	4	17	2	8.333333332999999	24	1	1	2	5000	1.294444444	0.379722222	0.236111111	0.0	0.366666667	0.0	0	0.359166667	1.5	1.13	0.0	0.45321
1098	249	5	1	2	2	6	5	0.0	1	2012	4	18	3	15.5	9	0	0	0	1244	0.358333333	0.099444444	0.200555556	0.0	0.088055556	0.0	0	0.141666667	0.0	0.31	0.0	0.34902
1122	254	4	0	4	3	1	1	1.0	1	2012	4	18	3	11.5	30	0	1	1	4136	1.006666667	0.340555556	0.230555556	0.0	0.428611111	0.0	0	0.328333333	1.5	0.87	0.0	0.44247
1164	262	0	5	4	3	1	1	1.0	1	2012	4	18	3	16.5	32	1	1	2	2536	0.614166667	0.204166667	0.1016666669999999	0.0	0.179166667	0.0	0	0.157777778	1.5	0.63	0.0	0.107394
1237	275	1	1	3	1	1	1	0.0	1	2012	4	19	4	20.0	35	1	1	1	5790	1.922222222	0.505833333	0.254722222	0.133333333	0.0	0.0	0	0.3775	1.5	1.26	0.0	0.297277
1266	281	0	3	3	3	1	5	0.0	1	2012	4	19	4	21.25	70	1	1	2	7852	1.873611111	0.624444444	0.2613888889999999	0.333333333	0.0	0.1166666669999999	1	0.479722222	0.0	1.72	0.0	0.427331
1269	281	1	2	3	3	1	5	0.0	1	2012	4	19	4	18.25	68	0	1	2	7852	1.899722222	0.6138888889999999	0.228611111	0.2	0.333333333	0.1166666669999999	1	0.636388889	0.0	1.59	0.0	0.682671
1285	283	0	0	4	2	1	1	1.0	1	2012	4	20	5	8.333333332999999	51	1	1	2	3983	1.378611111	0.346666667	0.224444444	0.0	0.4	0.0	0	0.2666666669999999	1.5	0.85	0.0	0.197917
1299	283	3	3	3	2	1	3	0.0	1	2012	4	20	5	17.0	15	0	0	2	3983	1.421944444	0.395	0.208888889	0.0	0.3833333329999999	0.0	0	0.238611111	0.0	0.82	0.0	0.135041
1302	284	0	0	4	2	2	1	1.0	1	2012	4	20	5	8.5	32	1	1	2	463	0.130555556	0.028611111	0.095833333	0.0	0.016666667	0.0	0	0.036388889	1.5	0.08	0.0	0.00763359
1309	284	1	5	4	3	2	5	0.0	1	2012	4	20	5	18.5	8	1	0	2	4841	1.1925	0.420277778	0.131944444	0.0	0.3125	0.0	0	0.2394444439999999	0.0	0.67	0.0	0.204176
1320	285	2	0	4	4	2	3	0.0	1	2012	4	20	5	8.833333332999999	15	1	0	2	1023	0.35	0.094444444	0.1072222219999999	0.0	0.13	0.0	0	0.09	0.0	0.23	0.0	0.277778
1365	295	0	1	4	5	1	5	0.0	1	2012	4	20	5	8.833333332999999	69	1	1	1	1720	0.386111111	0.103333333	0.078888889	0.0	0.1555555559999999	0.0	0	0.094444444	0.0	0.27	0.0	0.638235
1373	295	1	4	3	3	1	5	0.0	1	2012	4	20	5	15.25	70	0	1	1	8081	1.974722222	0.685	0.16	0.333333333	0.0	0.1166666669999999	1	0.667222222	0.0	1.63	0.0	0.5
1394	296	2	6	4	3	2	3	0.0	1	2012	4	20	5	20.5	12	0	0	2	4714	1.13	0.376666667	0.1030555559999999	0.0	0.363333333	0.0	0	0.324166667	0.0	0.76	0.0	0.6923739999999999
1397	296	3	2	4	5	2	5	0.0	1	2012	4	20	5	16.5	10	1	0	2	2053	0.563055556	0.205	0.212777778	0.0	0.177777778	0.0	0	0.169722222	0.0	0.41	0.0	0.476268
1433	305	0	1	4	3	1	1	1.0	1	2012	4	20	5	10.58333333	26	1	0	1	3061	0.6963888890000001	0.2419444439999999	0.146388889	0.1	0.0	0.0	0	0.199444444	1.5	0.56	0.0	0.324513
1436	305	0	4	4	3	1	1	1.0	1	2012	4	20	5	15.0	26	1	0	1	1098	0.336944444	0.110277778	0.205277778	0.0	0.079444444	0.0	0	0.1172222219999999	1.5	0.31	0.0	0.218009
1438	305	1	0	4	3	5	1	1.0	1	2012	4	20	5	10.0	35	0	1	1	3061	0.7011111109999999	0.277222222	0.151111111	0.133333333	0.0	0.0	0	0.206666667	1.5	0.72	0.0	0.366935
1452	307	0	2	4	3	1	1	0.0	1	2012	4	21	6	1.0	35	1	1	2	1392	0.423055556	0.130277778	0.4033333329999999	0.0	0.008055556	0.0	0	0.111944444	0.0	0.35	0.0	0.0421836
1455	308	0	2	4	3	1	1	1.0	1	2012	4	21	6	11.0	57	0	1	1	1263	0.354166667	0.139166667	0.086944444	0.0	0.124722222	0.0	0	0.112222222	1.5	0.3	0.0	0.116337
1495	316	2	2	4	3	1	1	1.0	1	2012	4	21	6	12.91666667	62	0	1	1	714	0.2319444439999999	0.069722222	0.166666667	0.0	0.0388888889999999	0.0	0	0.066666667	1.5	0.18	0.0	0.075
1523	322	1	1	1	3	1	5	0.0	1	2012	4	21	6	10.66666667	84	0	0	2	578	0.173055556	0.0586111109999999	0.128611111	0.0	0.016666667	0.0	0	0.061944444	0.0	0.14	0.0	0.0493274
1556	326	3	4	1	5	6	1	1.0	1	2012	4	22	7	14.83333333	37	1	1	2	445	0.1166666669999999	0.043888889	0.071666667	0.0	0.033333333	0.0	0	0.048611111	1.5	0.09	0.0	0.291429
1561	327	1	3	4	3	1	5	0.0	1	2012	4	22	7	19.5	84	1	0	1	2261	0.550277778	0.171666667	0.1225	0.0	0.112222222	0.0	0	0.103333333	0.0	0.35	0.0	0.193548
1564	328	0	2	4	3	1	1	1.0	1	2012	4	22	7	14.0	40	0	0	1	6660	1.580555556	0.628888889	0.476111111	0.2166666669999999	0.0	0.0	0	0.469166667	2.8	1.35	0.0	0.4162229999999999
1568	328	2	0	4	3	1	5	0.0	1	2012	4	22	7	14.0	7	1	0	1	6660	1.580555556	0.628888889	0.476111111	0.2166666669999999	0.0	0.0	0	0.469166667	0.0	1.35	0.0	0.4162229999999999
1571	328	3	1	4	3	1	5	0.0	1	2012	4	22	7	16.0	6	1	0	1	6660	1.584722222	0.6183333329999999	0.485	0.2	0.0	0.0	0	0.494444444	0.0	1.37	0.0	0.398876
1577	331	1	1	1	3	1	1	1.0	1	2012	4	22	7	20.0	25	1	1	1	252	0.091111111	0.0388888889999999	0.030555556	0.0	0.019166667	0.0	0	0.036388889	1.5	0.08	0.0	0.389313
1592	333	0	2	3	5	6	1	1.0	1	2012	4	22	7	12.5	24	1	1	0	2399	0.536111111	0.206666667	0.0505555559999999	0.0	0.155277778	0.0	0	0.111388889	1.5	0.32	0.0	0.2169579999999999
1626	340	0	0	1	3	6	1	1.0	1	2012	4	22	7	14.0	43	0	0	0	513	0.149166667	0.0627777779999999	0.111111111	0.0	0.021666667	0.0	0	0.0608333329999999	1.5	0.12	0.0	0.0273973
1628	341	0	0	3	3	1	1	1.0	1	2012	4	22	7	9.75	52	0	1	2	19548	4.539444444	1.600555556	0.071944444	0.8	0.3	0.133333333	1	0.934444444	4.3	3.13	0.0	0.50981
1635	342	0	1	1	3	2	5	0.0	1	2012	4	22	7	8.516666667	82	1	1	2	1216	0.336666667	0.163055556	0.175	0.0	0.105555556	0.0	0	0.128611111	0.0	0.35	0.0	0.37365
1653	346	3	1	4	2	1	5	0.0	1	2012	4	23	1	15.5	5	1	0	1	2494	0.569722222	0.137222222	0.108333333	0.0	0.1166666669999999	0.0	0	0.1275	0.0	0.41	0.0	0.0849673
1658	348	0	0	3	1	1	1	1.0	1	2012	4	23	1	8.166666667000001	53	0	1	2	6123	1.468333333	0.538333333	0.229444444	0.3	0.0	0.0	0	0.405	2.9	1.08	0.0	0.747599
1681	353	0	7	4	3	1	1	1.0	1	2012	4	23	1	23.0	36	1	1	1	2160	0.543333333	0.141666667	0.203333333	0.0	0.0633333329999999	0.0	0	0.164444444	1.5	0.51	0.0	0.0152027
1707	359	0	1	1	5	1	1	1.0	1	2012	4	23	1	8.0	41	0	1	1	646	0.171666667	0.063888889	0.128888889	0.0	0.06	0.0	0	0.0866666669999999	1.5	0.21	10.5	0.5096149999999999
1768	368	2	1	4	2	1	3	0.0	1	2012	4	25	3	12.0	11	0	0	1	1670	0.438611111	0.148888889	0.133611111	0.083333333	0.0	0.0	0	0.135555556	0.75	0.34	0.0	0.346311
1816	377	2	0	3	1	2	1	1.0	1	2012	4	25	3	6.25	54	1	0	1	8873	2.142222222	0.694722222	0.3827777779999999	0.333333333	0.0	0.0	0	0.535555556	3.3	1.29	0.0	0.517116
1850	381	2	2	4	5	1	5	0.0	1	2012	4	26	4	17.33333333	5	0	0	1	1317	0.268333333	0.063611111	0.0	0.0	0.094444444	0.0	0	0.0625	0.0	0.19	0.0	0.386667
1851	381	2	3	4	5	1	5	0.0	1	2012	4	26	4	19.5	5	0	0	1	1317	0.31	0.1172222219999999	0.0855555559999999	0.0	0.048055556	0.0	0	0.0511111109999999	0.0	0.2	0.0	0.38587
1869	386	0	1	3	1	6	1	1.0	1	2012	4	26	4	19.0	53	1	0	0	5780	1.5072222219999998	0.478055556	0.140277778	0.25	0.337777778	0.080277778	1	0.4552777779999999	3.0	1.04	0.0	0.6400239999999999
1877	388	2	3	4	3	2	5	0.0	1	2012	4	27	5	17.16666667	5	0	0	2	2850	0.6719444440000001	0.219444444	0.2738888889999999	0.0	0.133333333	0.0	0	0.162777778	0.0	0.44	0.0	0.182594
1888	391	0	2	3	5	6	1	1.0	1	2012	4	27	5	23.0	26	0	0	0	1767	0.4044444439999999	0.1475	0.109444444	0.05	0.0	0.0	0	0.142777778	2.4	0.38	0.0	0.445525
1940	403	1	0	2	3	6	1	1.0	1	2012	4	28	6	8.0	19	0	0	0	10274	2.203333333	0.659166667	0.194722222	0.0	0.622222222	0.0	0	0.448611111	1.5	1.42	0.0	0.263158
1943	404	0	0	4	3	1	5	0.0	1	2012	4	28	6	11.0	61	0	1	1	14288	3.405	0.926111111	0.181111111	0.0	1.15	0.133333333	1	0.551944444	0.0	2.2	0.0	0.575742
1974	409	2	0	3	3	6	1	1.0	1	2012	4	28	6	10.0	24	0	1	0	16040	3.898611111	1.215555556	0.304722222	0.6	0.0	0.166666667	1	0.887777778	5.3	2.82	0.0	0.4790359999999999
1976	409	2	2	3	3	6	1	1.0	1	2012	4	28	6	23.25	24	0	1	0	15285	3.620833333	1.094722222	0.251944444	0.483333333	0.0	0.2	1	0.8544444440000001	3.8	2.36	10.5	0.658323
1990	414	2	0	4	3	1	1	1.0	1	2012	4	28	6	12.0	42	0	1	1	2766	0.694444444	0.194722222	0.103888889	0.0	0.243055556	0.0	0	0.181388889	1.5	0.5	0.0	0.310873
2003	417	2	1	3	3	1	5	0.0	1	2012	4	28	6	16.0	8	0	0	2	7863	1.940277778	0.634166667	0.126944444	0.316666667	0.121111111	0.1	1	0.5327777779999999	0.0	1.47	0.0	0.633472
2029	422	0	0	4	3	4	1	1.0	1	2012	4	29	7	8.5	46	0	1	2	4925	1.096944444	0.316388889	0.0847222219999999	0.0	0.345555556	0.226666667	1	0.214166667	3.0	1.21	0.0	0.0687419
2035	424	0	0	4	3	1	1	1.0	1	2012	4	29	7	21.5	31	0	1	2	3258	0.7433333329999999	0.2575	0.169722222	0.0	0.134444444	0.0	0	0.15	1.5	0.48	0.0	0.164815
2038	425	0	1	4	3	1	1	1.0	1	2012	4	29	7	18.75	49	1	1	2	2819	0.6791666670000001	0.2288888889999999	0.195555556	0.05	0.05	0.1166666669999999	1	0.185277778	3.0	0.52	0.0	0.2053969999999999
2061	432	0	0	4	3	1	1	1.0	1	2012	4	29	7	9.75	42	0	1	2	2462	0.654166667	0.217777778	0.1036111109999999	0.0	0.149444444	0.0	0	0.184722222	1.5	0.55	0.0	0.0270677
2066	434	0	3	4	3	1	1	1.0	1	2012	4	29	7	14.5	55	1	1	2	5397	1.269444444	0.531666667	0.200277778	0.0	0.557777778	0.0	0	0.363611111	1.5	0.92	0.0	0.786096
2076	436	1	1	4	5	2	1	1.0	1	2012	4	29	7	17.0	38	0	1	1	2212	0.5425	0.175555556	0.157222222	0.0	0.177777778	0.0	0	0.15	1.5	0.37	0.0	0.1796299999999999
